ips1;ips2;ips3;ips4;ips5;ips6;ips7;ips8;ipk
348;325;348;332;333;29;317;175;309
31;34;339;323;14;0;0;0;166
376;385;378;386;0;0;0;0;191
333;34;348;373;31;238;317;15;301
314;32;313;259;267;243;292;175;273
281;28;3;3;243;267;267;125;258
357;39;357;386;352;348;358;15;337
281;32;0;0;0;0;0;0;75
343;385;33;364;314;333;3;25;327
29;7;0;0;0;0;0;0;45
371;355;0;0;0;0;0;0;91
133;0;0;0;0;0;0;0;17
371;4;387;4;376;376;342;125;347
357;375;365;386;338;0;0;0;228
371;4;4;386;386;362;383;325;377
76;0;0;0;0;0;0;0;1
338;37;343;35;324;333;342;375;347
362;36;348;336;329;3;292;1;303
39;4;37;4;338;31;333;325;358
348;36;357;373;338;31;342;325;344
352;385;352;386;343;31;358;175;333
29;35;309;373;233;0;0;0;194
343;4;383;373;362;333;383;275;357
376;4;348;386;314;319;333;3;347
343;365;361;373;376;31;383;175;336
305;305;326;327;3;267;325;125;285
129;0;0;0;0;0;0;0;16
95;0;0;0;0;0;0;0;12
148;0;0;0;0;0;0;0;19
286;355;361;336;333;3;333;25;319
74;0;0;0;0;0;0;0;9
219;0;0;0;0;0;0;0;27
352;39;348;35;352;329;333;25;338
31;295;304;277;271;257;267;125;263
276;285;0;0;0;0;0;0;7
338;37;37;386;367;338;358;3;353
4;4;4;386;39;39;342;325;379
76;0;0;0;0;0;0;0;1
252;0;0;0;0;0;0;0;32
329;355;343;359;329;295;35;3;333
39;0;0;0;0;0;0;0;49
348;375;378;373;314;286;342;175;324
86;0;0;0;0;0;0;0;11
348;33;348;359;0;0;0;0;173
3;35;309;336;324;29;283;275;308
362;36;348;386;362;314;35;325;351
343;39;357;386;31;324;308;75;312
238;0;0;0;0;0;0;0;3
52;0;0;0;0;0;0;0;7
267;0;0;0;0;0;0;0;33
3;365;357;364;0;0;105;0;186
362;4;378;4;367;338;283;325;357
257;325;248;332;329;0;0;0;186
3;0;0;0;0;0;0;0;38
39;39;378;386;362;333;4;3;367
338;4;378;362;352;342;25;0;303
371;385;391;362;348;367;375;0;325
343;355;348;0;0;0;0;0;131
32;0;0;0;0;0;0;0;4
67;0;0;0;0;0;0;0;8
3;355;3;31;281;3;325;0;271
0;0;0;0;0;0;0;0;0
3;365;33;323;29;338;167;2;289
338;39;339;373;324;333;167;3;321
333;365;343;336;305;31;167;1;282
343;355;339;332;214;3;167;2;281
376;36;348;373;357;376;167;3;332
386;4;391;373;0;0;0;1;206
286;0;0;0;0;0;0;2;61
4;385;4;386;386;386;167;3;351
343;0;0;0;0;0;0;4;93
367;0;0;0;0;0;0;2;71
367;36;378;359;31;348;167;3;324
3;355;309;35;295;314;167;2;286
376;36;33;345;29;324;167;1;287
362;325;339;359;329;357;167;2;305
343;4;348;373;329;31;142;3;318
376;365;343;373;333;362;167;1;302
31;365;343;341;3;29;167;2;29
362;385;348;373;338;333;167;1;301
376;35;374;364;352;376;167;3;332
386;345;335;259;0;0;0;1;178
31;34;291;314;29;305;167;2;277
348;325;252;314;229;0;0;3;221
348;375;322;364;348;362;167;1;298
29;335;326;35;276;29;167;2;279
329;36;322;341;276;271;167;1;271
324;335;296;336;295;338;1;3;291
338;35;335;35;276;295;15;2;287
238;27;274;0;0;0;0;1;11
305;355;335;341;338;367;142;3;31
343;335;37;373;333;343;142;2;305
333;0;0;0;0;0;0;1;54
357;38;339;35;276;3;167;2;296
376;385;37;373;333;357;167;3;333
324;8;0;0;0;0;0;1;63
352;365;322;336;31;3;142;2;291
4;4;378;373;338;324;167;1;31
386;4;391;373;381;386;167;3;348
352;375;348;35;3;29;167;4;323
314;34;313;327;324;29;167;2;284
329;365;343;336;286;29;167;3;302
376;37;37;359;333;338;167;1;302
357;35;365;386;376;362;167;2;32
267;3;0;0;0;0;0;3;75
257;27;283;273;267;262;5;1;22
329;38;348;364;362;362;167;3;327
3;365;33;359;343;31;167;1;284
4;39;378;4;348;362;167;2;331
348;35;339;364;314;324;167;3;313
324;34;339;355;314;319;167;1;282
224;85;0;0;0;0;0;1;51
343;36;339;364;324;357;167;2;307
348;375;326;35;338;295;142;3;309
39;39;378;386;333;376;167;3;34
286;6;0;0;0;0;0;4;93
367;35;352;364;319;3;167;1;29
281;34;309;341;29;319;167;3;293
386;37;37;373;348;371;167;2;323
267;295;27;264;229;21;0;2;217
357;365;348;35;324;338;167;1;294
319;355;0;0;0;0;0;2;109
276;355;309;3;262;262;167;1;254
3;305;296;327;276;276;167;3;281
362;39;361;386;348;362;167;1;31
281;3;283;3;29;276;1;2;254
0;0;0;0;0;0;0;4;5
